rut,nombre,edad,sexo,id_instalacion,Es jefe
14343597-0,Reema Page,45,hombre,127,no
41966463-4,Nigel Dickens,36,mujer,83,si
21219682-7,Priyanka Navarro,43,hombre,206,no
95541523-k,Dina Clark,23,hombre,178,no
68208732-3,Ali Childs,56,mujer,208,no
43831962-k,Ava-Rose O'Ryan,60,hombre,115,no
22234852-8,Talitha Mcloughlin,60,hombre,173,no
39089742-1,Lily-Anne Patel,36,mujer,158,no
92696219-1,Keane Morrison,28,mujer,2,no
69568679-k,Mayson Baird,48,hombre,38,no
91935122-5,Rhiann Cote,45,hombre,192,no
68133700-8,Lina Mclaughlin,45,mujer,90,no
42938886-4,Ayush Pace,58,mujer,124,no
11439340-1,Zeeshan Johnston,26,hombre,144,no
39899583-k,Dominykas Lutz,55,mujer,110,no
39949282-3,Rafi Kaiser,37,hombre,134,no
53644614-1,Maaria Major,41,mujer,188,no
19552470-k,Blanka Alford,34,mujer,113,no
18167947-6,Oliver Huff,47,mujer,141,no
72810804-5,Jobe Campos,54,mujer,176,no
44253237-0,Taylan Wilks,23,hombre,184,no
45026478-4,Rhea Gale,55,mujer,52,no
75576764-6,Eshaal Searle,47,mujer,43,no
64879120-8,Nazia Quintero,18,mujer,115,no
69373271-9,Joshua Vo,23,hombre,9,no
10517073-4,Chay Sutherland,22,mujer,140,no
98708700-5,Riaan Mays,48,mujer,56,no
58945079-5,Harvie Forbes,23,hombre,165,no
75270010-9,Safia Potts,22,mujer,215,no
98683815-5,Sidrah Mclellan,23,hombre,1,no
72939187-5,Josh Small,57,mujer,19,no
20297901-7,Nikkita Dodson,33,mujer,14,no
77209293-8,Rikki Hewitt,55,mujer,203,no
18665525-7,Jameson Valdez,23,hombre,15,no
50062649-6,Kornelia Drummond,46,hombre,97,no
85973291-7,Mina Hebert,54,mujer,151,no
51153844-0,Sami Suarez,59,hombre,129,no
54076655-k,Rex Mckenzie,30,hombre,102,no
94821886-0,Asha Mckee,38,mujer,33,no
36552322-3,Fleur Sheppard,50,mujer,186,no
32366948-1,Orla Mcclure,54,mujer,176,no
77477421-1,Lianne Mccoy,21,mujer,79,no
13572944-2,Logan Kramer,58,mujer,120,no
79725605-6,Aamina Bean,60,hombre,162,no
66183219-3,Zaynah Kennedy,29,hombre,204,no
40675138-4,Melvin Perez,34,hombre,146,no
23000993-7,Alan Bonner,37,hombre,173,no
88198898-4,Madihah Haas,41,hombre,147,no
66199185-2,Roman Thomas,25,mujer,108,no
16008678-5,Rivka Finley,60,hombre,89,no
36625090-5,Dina Herman,22,hombre,27,no
87813399-4,Aubree Ridley,58,mujer,142,no
93900888-8,Lilianna Maxwell,50,hombre,61,no
30862862-0,Sayed Edwards,43,hombre,69,no
43922451-7,Patrik Rollins,45,hombre,26,no
95520055-1,Romilly Becker,24,mujer,34,no
75016224-k,Zayne David,18,mujer,100,no
76591179-6,Charlton Bridges,22,hombre,206,no
87081187-k,Ewan Chadwick,40,hombre,162,no
36081017-8,Ewen Little,49,mujer,157,no
80291272-2,Arjan Mcdermott,26,mujer,17,no
37200573-4,Toby Mcarthur,18,hombre,84,no
56535213-k,Mahi Ross,34,mujer,208,no
77796005-9,Benjamin Shaw,34,mujer,186,no
40350724-5,Laylah Grey,46,mujer,148,no
56499633-5,Dottie Chase,37,hombre,211,no
23526948-1,Bevan Pineda,35,hombre,178,no
86664654-6,Abubakar Gentry,41,hombre,177,no
52916249-9,Tehya Galvan,28,hombre,70,no
62785039-5,Darsh Bloom,45,hombre,155,no
22145359-k,Lucille Wilkerson,39,mujer,151,no
63951440-4,Tj Romero,58,mujer,109,no
97004364-0,Lamar Bailey,49,hombre,199,no
47666047-5,Deanna Wilder,29,hombre,92,no
88730119-0,Tasha Nicholson,58,mujer,5,no
53211068-8,Connor Prosser,35,hombre,106,no
14046488-0,Musab Ayala,19,hombre,184,no
31706054-8,Khushi Mayo,40,mujer,101,no
23298212-8,Ruby-Leigh Gallagher,22,mujer,193,no
57836259-2,Malcolm Plant,20,mujer,84,no
97657967-4,Mahir Nunez,46,mujer,163,no
59814228-9,Gerrard Quintana,57,mujer,133,no
89336201-0,Abbas Emerson,34,hombre,109,no
94432090-3,Anjali Rojas,42,mujer,170,no
92170041-5,Dollie Rivers,45,mujer,80,no
64272663-3,Inigo Castro,32,mujer,121,no
91790173-2,Jeremy Dunn,18,mujer,178,no
45467235-6,Kailum Parry,21,hombre,209,no
99075946-4,Aleena Parra,45,hombre,215,no
96392316-3,Lylah Mcguire,57,hombre,17,no
73342699-3,Lester Beard,60,hombre,123,no
47865441-3,Antonina Guzman,57,hombre,119,no
88772168-8,Hunter Solomon,24,hombre,38,no
87861767-3,Jacob Beech,19,mujer,177,no
41361801-0,Jana Sutton,48,mujer,94,no
31092780-5,Aalia Higgs,46,hombre,84,no
11750224-4,Diesel Hunt,33,hombre,146,no
72070561-3,Jena Field,20,mujer,197,no
51693674-6,Khadija Wells,51,mujer,155,no
92365268-k,Haidar Frank,50,mujer,166,no
55776079-2,Ariya Travis,49,hombre,67,no
83296811-0,Aysha Bone,37,mujer,99,no
23713134-7,Poppie Vang,54,hombre,76,no
